,userId,movieId,rating,timestamp,mean
0,1,31,2.5,1260759144,0.049019607843137254
1,1,1029,3.0,1260759179,0.058823529411764705
2,1,1061,3.0,1260759182,0.058823529411764705
3,1,1129,2.0,1260759185,0.0392156862745098
4,1,1172,4.0,1260759205,0.0784313725490196
5,1,1263,2.0,1260759151,0.0392156862745098
6,1,1287,2.0,1260759187,0.0392156862745098
7,1,1293,2.0,1260759148,0.0392156862745098
8,1,1339,3.5,1260759125,0.06862745098039216
9,1,1343,2.0,1260759131,0.0392156862745098
10,1,1371,2.5,1260759135,0.049019607843137254
